,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
272,Acapulco,MX,16.8634,-99.8901,78.62,78,0,2.3,clear sky
273,Thompson,CA,55.7435,-97.8558,23.16,33,40,3.44,scattered clouds
274,Dunedin,NZ,-45.8742,170.5036,59.81,51,46,15.99,scattered clouds
275,Rosario,AR,-32.9468,-60.6393,69.94,87,75,6.91,broken clouds
276,Gigmoto,PH,13.7796,124.39,84.69,78,59,9.35,broken clouds
277,Pringsewu,ID,-5.3582,104.9744,86.92,63,100,2.08,overcast clouds
278,Road Town,VG,18.4167,-64.6167,75.29,71,7,13.42,clear sky
279,Tura,IN,25.5198,90.2201,84.38,62,1,5.7,clear sky
280,Ambatolampy,MG,-19.3833,47.4167,52.34,95,26,1.36,scattered clouds
281,Itarema,BR,-2.9248,-39.9167,77.61,86,90,9.08,overcast clouds
282,Kasempa,ZM,-13.4584,25.8338,59.61,78,48,5.06,scattered clouds
283,Visnes,NO,59.3556,5.2242,44.65,87,100,5.75,overcast clouds
284,Kaduna,NG,10.5222,7.4383,77.45,64,100,6.15,overcast clouds
285,Gornyy,RU,55.1153,83.9059,44.6,51,21,11.3,few clouds
286,Zhangye,CN,38.9342,100.4517,65.34,19,11,10.96,few clouds
287,Prainha,BR,-1.8,-53.48,72.93,98,61,2.64,heavy intensity rain
288,Kupang,ID,-10.1667,123.5833,84.7,54,93,1.74,overcast clouds
289,Rio Gallegos,AR,-51.6226,-69.2181,32.05,100,0,6.91,clear sky
290,Karpathos,GR,35.507,27.2132,60.76,82,74,2.3,broken clouds
291,Bandarbeyla,SO,9.4942,50.8122,80.85,73,67,2.91,broken clouds
292,Coquimbo,CL,-29.9533,-71.3436,56.93,94,100,3.44,overcast clouds
293,Chifeng,CN,42.2683,118.9636,52.74,14,0,28.74,clear sky
294,Bundaberg,AU,-24.85,152.35,71.22,90,75,12.66,moderate rain
295,Trofors,NO,65.5333,13.4063,25.65,96,81,3.47,light snow
296,Narsaq,GL,60.9167,-46.05,39.42,90,97,2.15,overcast clouds
297,Jamame,SO,0.0722,42.7506,79.88,82,11,5.75,few clouds
298,Cockburn Town,TC,21.4612,-71.1419,76.53,74,37,15.08,scattered clouds
299,Matagami,CA,49.7502,-77.6328,41.11,93,100,9.22,mist
300,Karratha,AU,-20.7377,116.8463,85.57,34,98,10.69,overcast clouds
301,Galesong,ID,-5.3166,119.3661,87.82,69,85,1.34,overcast clouds
302,Saint-Georges,GD,12.0564,-61.7485,78.48,89,20,0.0,few clouds
303,Boda,CF,4.3189,17.4695,71.47,86,98,1.95,overcast clouds
304,Maceio,BR,-9.6658,-35.7353,76.44,94,75,5.75,broken clouds
305,Hazaribag,IN,23.9833,85.35,96.3,10,0,6.4,clear sky
306,Sangmelima,CM,2.9333,11.9833,68.13,99,100,1.66,moderate rain
307,Libenge,CD,3.65,18.6333,71.64,90,79,1.03,broken clouds
308,Bambanglipuro,ID,-7.95,110.2833,86.43,64,70,1.1,broken clouds
309,Cabimas,VE,10.3883,-71.4399,80.4,80,97,11.45,overcast clouds
310,Naze,JP,28.3667,129.4833,79.72,81,37,18.1,scattered clouds
311,Asau,RO,46.4333,26.4,47.32,93,4,5.97,clear sky
312,Nyurba,RU,63.2842,118.3319,29.23,82,100,2.77,overcast clouds
313,Tecpan,GT,14.7623,-90.9947,57.88,87,89,2.66,overcast clouds
314,Elmira,US,42.0898,-76.8077,61.12,73,100,11.5,overcast clouds
315,Mazatlan,MX,23.2167,-106.4167,74.91,81,0,4.61,clear sky
316,East London,ZA,-33.0153,27.9116,58.14,72,0,8.05,clear sky
317,Oksfjord,NO,70.2396,22.3479,24.01,92,100,8.9,light snow
318,Seinajoki,FI,62.7945,22.8282,33.35,79,75,9.22,broken clouds
319,Longyearbyen,SJ,78.2186,15.6401,-0.56,60,40,13.8,scattered clouds
320,Ambilobe,MG,-13.2,49.05,70.07,85,9,4.18,clear sky
321,Homer,US,59.6425,-151.5483,42.76,88,100,8.99,overcast clouds
322,Koulamoutou,GA,-1.1303,12.4736,70.93,98,100,1.92,overcast clouds
323,Dingli,MT,35.8614,14.3822,58.82,82,20,2.3,few clouds
324,Urusha,RU,54.05,122.9,43.68,24,42,11.5,scattered clouds
325,Klaksvik,FO,62.2266,-6.589,34.72,68,100,13.22,overcast clouds
326,Poum,NC,-20.2333,164.0167,77.47,63,99,12.64,overcast clouds
327,Svetlyy,RU,54.675,20.1347,42.85,90,65,7.34,broken clouds
328,Eregli,TR,37.5133,34.0467,56.52,31,15,2.15,few clouds
329,Abu Samrah,SY,35.3029,37.1841,64.71,45,7,3.74,clear sky
330,Northam,GB,51.0333,-4.2167,43.66,83,19,7.25,few clouds
331,Terme,TR,41.2092,36.9739,48.13,70,23,6.15,few clouds
332,Hanzhong,CN,33.0728,107.0303,75.87,54,97,1.39,overcast clouds
333,Batagay-Alyta,RU,67.8006,130.4114,18.91,81,99,4.18,overcast clouds
334,Polunochnoye,RU,60.8697,60.4153,37.31,91,90,3.65,overcast clouds
335,Sakskobing,DK,54.7997,11.626,37.09,89,5,4.85,clear sky
336,Esik,KZ,43.3552,77.4525,45.82,63,0,3.74,clear sky
337,Bam,IR,29.106,58.357,82.09,20,72,6.22,broken clouds
338,Labuhan,ID,-6.8844,112.2051,84.69,72,83,2.39,broken clouds
339,Saldanha,ZA,-33.0117,17.9442,50.05,77,87,10.78,overcast clouds
340,Taseyevo,RU,57.2169,94.8978,42.75,51,84,10.49,broken clouds
341,Nyanza,RW,-2.3519,29.7509,55.11,96,94,2.28,overcast clouds
342,Isnos,CO,1.9356,-76.2406,54.59,93,39,4.14,scattered clouds
343,Strezhevoy,RU,60.7333,77.5889,33.93,100,100,3.09,overcast clouds
344,Ust-Nera,RU,64.5667,143.2,23.16,77,95,4.14,overcast clouds
345,Hualmay,PE,-11.0964,-77.6139,66.65,87,91,7.31,overcast clouds
346,Yarensk,RU,62.1675,49.0916,42.26,96,100,7.61,light rain
347,Ola,RU,59.5833,151.2833,37.15,57,100,10.58,overcast clouds
348,Pasaje,EC,-3.3333,-79.8167,74.39,94,87,1.05,light rain
349,Mirabad,AF,30.4362,61.8383,83.82,16,39,4.34,scattered clouds
350,Lata,PT,40.1629,-8.3327,51.08,82,98,2.53,overcast clouds
351,Cravo Norte,CO,6.3017,-70.2041,81.86,65,76,2.3,broken clouds
352,Odzaci,RS,45.5067,19.2611,42.76,89,7,7.02,clear sky
353,Viedma,AR,-40.8135,-62.9967,57.56,31,100,16.75,overcast clouds
354,Ilo,PE,-17.6394,-71.3375,66.36,83,100,6.91,overcast clouds
355,Rajauri,IN,33.3833,74.3,80.19,26,0,1.57,clear sky
356,Mayahi,NE,13.9553,7.6712,86.54,13,65,10.31,broken clouds
357,Anaconda,US,46.1285,-112.9423,52.79,57,100,4.0,overcast clouds
358,Turayf,SA,31.6725,38.6637,64.65,68,0,5.75,clear sky
359,Kangaatsiaq,GL,68.3065,-53.4641,23.67,94,100,8.21,overcast clouds
360,Sur,OM,22.5667,59.5289,88.12,37,0,8.08,clear sky
361,Soure,BR,-0.7167,-48.5233,78.69,84,89,8.63,overcast clouds
362,Bwanga,TZ,-3.0308,31.7601,63.14,98,100,2.37,moderate rain
363,Gombong,ID,-7.6072,109.5142,88.57,61,87,2.3,overcast clouds
364,Auki,SB,-8.7676,160.7034,84.04,73,51,2.26,broken clouds
365,Manakara,MG,-22.1333,48.0167,68.2,92,31,4.97,scattered clouds
366,Minot,US,48.2325,-101.2963,26.82,80,75,6.91,broken clouds
367,Loanda,AO,-8.8368,13.2343,75.2,88,40,4.61,scattered clouds
368,Severo-Kurilsk,RU,50.6789,156.125,33.39,95,95,28.14,light snow
369,Kaeo,NZ,-35.1,173.7833,70.32,68,28,5.99,scattered clouds
370,Mumbwa,ZM,-14.9783,27.0619,59.13,79,66,2.46,broken clouds
371,Laguna,US,38.421,-121.4238,70.75,51,0,9.22,clear sky
372,Necochea,AR,-38.5473,-58.7368,52.07,66,8,6.53,clear sky
373,Mocuba,MZ,-16.8392,36.9856,69.28,99,50,3.44,scattered clouds
374,Chiredzi,ZW,-21.05,31.6667,66.69,90,3,3.44,clear sky
375,Dondo,MZ,-19.6094,34.7431,74.71,95,4,2.75,clear sky
376,Meulaboh,ID,4.1363,96.1285,74.89,96,100,3.71,moderate rain
377,La Palma,US,33.8464,-118.0467,80.91,25,75,9.22,broken clouds
378,Morondava,MG,-20.2833,44.2833,77.88,83,92,7.49,moderate rain
379,Broken Hill,AU,-31.95,141.4333,58.71,94,100,16.11,light rain
380,Florianopolis,BR,-27.6146,-48.5012,72.7,89,75,17.27,broken clouds
381,Aguimes,ES,27.9054,-15.4461,63.23,55,20,13.0,few clouds
382,Awjilah,LY,29.1081,21.2869,72.25,22,80,9.95,broken clouds
383,The Valley,AI,18.217,-63.0578,77.09,66,5,12.91,clear sky
384,Lebu,CL,-37.6167,-73.65,54.97,86,100,28.27,light rain
385,Erzurum,TR,40.0,41.5,37.08,64,4,1.5,clear sky
386,San Vicente,AR,-26.6167,-54.1333,70.88,77,0,5.64,clear sky
387,Shimoda,JP,34.6667,138.95,71.1,95,100,8.55,light rain
388,Victoria,HK,22.2855,114.1577,88.18,77,1,8.99,clear sky
389,Beringovskiy,RU,63.05,179.3167,31.3,98,100,16.96,snow
390,Valdivia,CL,-39.8142,-73.2459,50.25,95,100,7.52,overcast clouds
391,Sorong,ID,-0.8833,131.25,82.8,76,100,4.68,overcast clouds
392,Bethanien,NA,-26.502,17.1583,51.89,25,0,6.44,clear sky
393,Da Lat,VN,11.9465,108.4419,79.41,49,99,0.89,overcast clouds
394,Mariel,CU,22.9875,-82.7536,73.54,81,3,16.51,light rain
395,Mehamn,NO,71.0357,27.8492,22.95,58,75,29.93,broken clouds
396,Kropotkin,RU,45.4375,40.5756,57.22,81,27,7.02,scattered clouds
397,Rocha,UY,-34.4833,-54.3333,63.09,98,99,4.54,overcast clouds
398,Pacific Grove,US,36.6177,-121.9166,62.55,82,0,6.91,clear sky
399,Sabha,LY,27.0377,14.4283,72.0,20,100,14.23,overcast clouds
400,Alamogordo,US,32.8995,-105.9603,65.95,37,0,15.01,clear sky
401,Tongliao,CN,43.6125,122.2653,55.47,19,0,26.44,clear sky
402,Dzerzhinsk,RU,56.2389,43.4631,53.42,81,20,6.71,few clouds
403,Aba,NG,5.1066,7.3667,76.39,92,100,2.15,moderate rain
404,Qaqortoq,GL,60.7167,-46.0333,33.26,95,98,4.68,overcast clouds
405,Broome,US,42.2506,-75.833,58.14,72,100,8.05,overcast clouds
406,Vila Do Maio,CV,15.1333,-23.2167,74.19,79,7,16.4,clear sky
407,Puksoozero,RU,62.5903,40.6066,36.14,99,100,5.23,overcast clouds
408,Saint Anthony,US,45.0205,-93.218,32.67,67,100,16.11,overcast clouds
409,Reconquista,AR,-29.15,-59.65,72.34,91,81,8.43,broken clouds
410,Bardiyah,LY,31.7561,25.0865,62.6,69,100,3.83,overcast clouds
411,Show Low,US,34.2542,-110.0298,54.14,20,0,4.61,clear sky
412,Iralaya,HN,15.0,-83.2333,78.12,82,90,10.07,overcast clouds
413,Ayr,GB,55.4627,-4.6339,44.49,81,0,6.91,clear sky
414,Ewa Beach,US,21.3156,-158.0072,82.35,56,75,16.11,broken clouds
415,Buraydah,SA,26.326,43.975,68.45,43,42,12.5,scattered clouds
416,Kavieng,PG,-2.5744,150.7967,85.3,67,5,10.22,clear sky
417,Wamba,NG,8.9333,8.6,75.25,73,100,3.0,overcast clouds
418,Adrar,MR,20.5022,-10.0711,69.48,36,2,7.56,clear sky
419,Paracuru,BR,-3.41,-39.0306,78.12,87,85,8.19,overcast clouds
420,Mapiripan,CO,2.8892,-72.1256,74.23,91,95,3.38,overcast clouds
421,Koroni,GR,36.8,21.95,60.08,62,97,9.55,overcast clouds
422,Shelabolikha,RU,53.4131,82.6167,46.89,51,9,4.47,clear sky
423,Changde,CN,29.0464,111.6783,77.95,63,90,4.56,overcast clouds
424,Mulatupo,PA,8.9492,-77.7652,78.1,87,100,2.89,overcast clouds
425,Sulat,PH,11.8103,125.4544,83.7,82,99,9.19,overcast clouds
426,Tilichiki,RU,60.4667,166.1,30.94,94,100,11.7,overcast clouds
427,Morgan City,US,29.6994,-91.2068,69.8,94,100,9.22,overcast clouds
428,Porto Santo,PT,33.072,-16.3415,61.18,77,40,10.36,scattered clouds
429,Shache,CN,38.4167,77.2406,71.42,12,60,5.48,broken clouds
430,Parana,AR,-31.732,-60.5238,69.57,95,5,7.54,clear sky
431,Ulety,RU,51.3572,112.4849,39.52,19,0,12.5,clear sky
432,Matay,EG,28.419,30.7792,69.67,35,56,11.23,broken clouds
433,Coswig,DE,51.1333,13.5833,44.28,98,0,4.61,clear sky
434,Oltu,TR,40.5498,42.0013,55.27,59,0,3.53,clear sky
435,Sayat,TM,38.7839,63.8803,64.27,24,100,9.37,overcast clouds
436,Bhitarwar,IN,25.8,78.1167,96.24,10,4,3.33,clear sky
437,Kondoros,HU,46.7667,20.8,47.98,89,84,5.57,broken clouds
438,Korem,ET,12.5058,39.5228,53.76,81,44,1.66,scattered clouds
439,Santa Rosa,PH,14.3122,121.1114,93.18,64,23,12.59,few clouds
440,Tezu,IN,27.9167,96.1667,81.18,44,52,2.21,broken clouds
441,Bilibino,RU,68.0546,166.4372,29.62,71,100,4.54,overcast clouds
442,Emerald,AU,-23.5333,148.1667,69.94,88,100,19.57,moderate rain
443,Namatanai,PG,-3.6667,152.4333,85.3,64,91,7.09,overcast clouds
444,Iwanai,JP,42.9744,140.5089,66.4,56,100,6.62,overcast clouds
445,Los Llanos De Aridane,ES,28.6585,-17.9182,58.75,67,0,3.44,clear sky
446,Luangwa,ZM,-15.6167,30.4167,69.1,94,71,3.31,light rain
447,Zaraza,VE,9.3503,-65.3245,78.33,79,83,8.63,broken clouds
448,Valparaiso,CL,-33.0393,-71.6273,59.47,90,100,3.44,mist
449,Susaki,JP,33.3667,133.2833,71.67,97,100,1.79,light rain
450,Maltahohe,NA,-24.8333,16.9833,51.67,32,0,7.49,clear sky
451,Abu Dhabi,AE,24.4667,54.3667,82.51,75,83,2.3,broken clouds
452,Lavrentiya,RU,65.5833,-171.0,27.37,79,96,7.38,overcast clouds
453,Pevek,RU,69.7008,170.3133,30.87,71,100,3.87,overcast clouds
454,Botwood,CA,49.1499,-55.3482,35.91,99,77,4.43,broken clouds
455,Dum Duma,IN,27.5667,95.5667,74.32,72,73,2.48,broken clouds
456,Lodja,CD,-3.4833,23.4333,69.28,99,100,0.45,overcast clouds
457,Egvekinot,RU,66.3167,-179.1667,24.08,77,50,7.47,scattered clouds
458,Boddam,GB,57.4667,-1.7833,43.18,80,100,12.5,overcast clouds
459,Shakawe,BW,-18.3667,21.85,63.73,57,36,4.94,scattered clouds
460,Kenai,US,60.5544,-151.2583,48.02,66,0,11.5,clear sky
461,Tanakpur,IN,29.0833,80.1167,93.11,15,11,2.82,few clouds
462,Mandalgovi,MN,45.7625,106.2708,30.45,20,9,12.28,clear sky
463,Port Pirie,AU,-33.1833,138.0167,68.09,70,100,10.94,overcast clouds
464,Hellvik,NO,59.9156,5.781,44.78,89,19,2.51,few clouds
465,Noumea,NC,-22.2763,166.4572,80.01,99,99,14.29,overcast clouds
466,Yining,CN,29.0361,114.5636,79.47,73,76,2.82,broken clouds
467,Dvinskoy,RU,62.1535,45.1175,42.6,97,100,6.67,overcast clouds
468,Paamiut,GL,61.994,-49.6678,29.21,87,100,2.48,overcast clouds
469,Castelo Do Piaui,BR,-5.3222,-41.5525,71.64,73,88,3.62,overcast clouds
470,Atar,MR,20.5169,-13.0499,71.01,45,33,8.66,scattered clouds
471,Sazonovo,RU,59.0919,35.2268,39.36,96,100,5.99,overcast clouds
472,Blagoyevo,RU,63.3667,47.9167,39.7,97,100,8.77,overcast clouds
473,Yuryevets,RU,57.3201,43.1041,44.33,99,100,7.72,heavy intensity rain
474,Illapel,CL,-31.6308,-71.1653,60.12,81,0,1.36,clear sky
475,Belaya Gora,RU,68.5333,146.4167,20.34,78,88,1.79,overcast clouds
476,Vangaindrano,MG,-23.35,47.6,68.67,94,31,4.97,scattered clouds
477,Sao Joao Da Barra,BR,-21.6403,-41.0511,72.59,83,1,2.77,clear sky
478,Wilmington,US,34.2257,-77.9447,69.85,79,0,5.75,clear sky
479,Oranjemund,NA,-28.55,16.4333,55.24,63,0,6.04,clear sky
480,Slyudyanka,RU,51.6594,103.7061,37.44,56,12,3.06,few clouds
481,Grand Gaube,MU,-20.0064,57.6608,75.6,80,39,3.0,light rain
482,Fairbanks,US,64.8378,-147.7164,53.94,42,0,3.44,clear sky
483,Bandundu,CD,-3.3167,17.3667,72.73,95,100,4.07,moderate rain
484,Varhaug,NO,58.6147,5.6457,44.15,91,29,15.75,scattered clouds
485,Maniitsoq,GL,65.4167,-52.9,28.04,84,100,13.13,overcast clouds
486,Rusape,ZW,-18.5278,32.1284,55.56,95,4,1.14,clear sky
487,Dire Dawa,ET,9.5931,41.8661,67.19,77,79,2.15,broken clouds
488,Odweyne,SO,9.4092,45.064,70.39,76,90,4.85,light rain
489,Robertsport,LR,6.7533,-11.3686,80.28,85,100,8.68,overcast clouds
490,Minab,IR,27.1467,57.0801,84.22,36,7,3.74,clear sky
491,Alihe,CN,50.5667,123.7167,43.36,36,100,14.72,overcast clouds
492,Luganville,VU,-15.5333,167.1667,82.09,71,100,8.52,overcast clouds
493,Edson,CA,53.5835,-116.4356,57.31,26,75,4.61,broken clouds
494,Okha,RU,53.5739,142.9478,34.7,70,17,8.41,few clouds
495,Shenjiamen,CN,29.9576,122.298,62.94,100,100,10.29,overcast clouds
496,Thenzawl,IN,23.3167,92.75,84.4,45,0,3.11,clear sky
497,Dhidhdhoo,MV,6.8833,73.1,84.54,70,68,2.48,broken clouds
498,Pangkalanbuun,ID,-2.6833,111.6167,88.52,60,98,3.58,overcast clouds
499,Camacha,PT,33.0833,-16.3333,58.42,77,40,10.36,scattered clouds
500,Goma,CD,-1.6792,29.2228,62.96,90,99,2.89,light rain
501,Atasu,KZ,48.6814,71.6433,50.61,42,1,8.37,clear sky
502,Lalibela,ET,12.0333,39.0333,62.17,56,61,3.38,broken clouds
503,Katherine,AU,-14.4667,132.2667,91.72,38,0,9.22,clear sky
504,Kharp,RU,66.8014,65.8081,28.26,85,53,0.74,broken clouds
505,Houma,US,29.5958,-90.7195,68.0,94,0,3.44,clear sky
506,Sorland,NO,67.667,12.6934,32.29,59,100,22.66,snow
507,Kontagora,NG,10.3999,5.4695,79.88,60,86,5.5,overcast clouds
508,Jardim,BR,-21.4803,-56.1381,76.84,63,1,4.92,clear sky
509,Husavik,IS,66.0449,-17.3389,40.71,87,100,3.96,overcast clouds
510,Touros,BR,-5.1989,-35.4608,75.78,91,61,8.86,broken clouds
511,Teya,RU,60.3778,92.6267,33.08,76,97,8.23,overcast clouds
512,Les Cayes,HT,18.2,-73.75,74.89,80,43,2.39,scattered clouds
513,Salon-De-Provence,FR,43.6407,5.0954,54.68,93,75,5.75,broken clouds
514,Cairns,AU,-16.9167,145.7667,90.07,74,40,9.22,scattered clouds
515,Nadym,RU,65.5333,72.5167,30.04,97,100,10.8,light snow
516,Ndele,CF,8.4109,20.6473,73.74,78,98,5.55,overcast clouds
517,Orcopampa,PE,-15.2661,-72.3417,48.9,49,98,1.32,overcast clouds
518,Tias,ES,28.9611,-13.645,62.28,82,75,3.44,broken clouds
519,Fort Nelson,CA,58.8053,-122.7002,44.19,70,75,5.75,broken clouds
520,Ustynivka,UA,47.9551,32.5367,51.26,76,6,6.13,clear sky
521,Matara,LK,5.9485,80.5353,87.19,65,12,1.77,few clouds
522,Simbahan,PH,6.3032,120.5836,84.13,70,87,5.08,overcast clouds
523,Vestmannaeyjar,IS,63.4427,-20.2734,44.78,84,96,9.93,overcast clouds
524,Soeng Sang,TH,14.4264,102.4606,94.1,45,29,5.93,scattered clouds
525,Dembi Dolo,ET,8.5333,34.8,58.78,84,99,3.65,overcast clouds
526,Terrace,CA,54.5163,-128.6035,42.71,87,75,8.05,light intensity shower rain
527,Nioaque,BR,-21.1353,-55.83,77.18,63,3,4.92,clear sky
528,Astana,KZ,51.1801,71.446,51.75,28,0,8.95,clear sky
529,Bacolod,PH,10.6667,122.95,88.75,63,95,10.85,overcast clouds
530,Huilong,CN,31.8111,121.655,63.46,88,100,15.84,light rain
531,Doha,QA,25.2867,51.5333,80.58,61,100,4.61,haze
532,Calbuco,CL,-41.768,-73.1273,51.01,83,100,18.23,light rain
533,Sola,VU,-13.8833,167.55,80.98,75,80,16.67,broken clouds
534,Solihull,GB,52.4143,-1.7809,44.19,92,75,6.91,broken clouds
535,Dillon,US,34.4166,-79.3712,71.94,80,0,7.61,clear sky
536,Sangar,RU,63.9242,127.4739,28.18,73,97,9.17,overcast clouds
537,Taguatinga,BR,-12.3857,-46.5711,74.12,53,1,6.64,clear sky
538,Tessalit,ML,20.1986,1.0114,71.82,20,0,6.42,clear sky
539,Comodoro Rivadavia,AR,-45.8667,-67.5,57.06,41,0,10.36,clear sky
540,Charlestown,AU,-32.95,151.6667,69.82,81,100,1.99,moderate rain
541,Okitipupa,NG,6.5047,4.7839,76.05,96,98,0.07,overcast clouds
542,Mahon,ES,39.8885,4.2658,50.56,100,20,3.44,mist
543,Okato,NZ,-39.2,173.8833,65.91,73,99,7.81,overcast clouds
544,Namibe,AO,-15.1961,12.1522,72.07,71,82,7.14,broken clouds
545,Strathroy,CA,42.9551,-81.6223,51.49,65,85,12.33,overcast clouds
546,Sisimiut,GL,66.9395,-53.6735,29.16,81,100,10.33,overcast clouds
547,Kutum,SD,14.2,24.6667,73.98,13,100,0.63,overcast clouds
